,HKUST-1,Cu(BDC),Cu(BPDC),Cu(BDC)(dabco),Concentration,Type
484,0.143,0.152,0.061,0.197,100ppm,1-Propanol
485,0.142,0.167,0.061,0.195,100ppm,1-Propanol
486,0.139,0.15,0.063,0.18,100ppm,1-Propanol
487,0.138,0.17,0.067,0.202,100ppm,1-Propanol
488,0.136,0.157,0.063,0.184,100ppm,1-Propanol
489,0.135,0.164,0.064,0.195,100ppm,1-Propanol
490,0.138,0.154,0.066,0.193,100ppm,1-Propanol
491,0.14,0.165,0.06,0.196,100ppm,1-Propanol
492,0.144,0.166,0.066,0.185,100ppm,1-Propanol
493,0.142,0.156,0.068,0.198,100ppm,1-Propanol
494,0.142,0.166,0.06,0.185,100ppm,1-Propanol
495,0.136,0.153,0.065,0.183,100ppm,1-Propanol
496,0.147,0.16,0.061,0.182,100ppm,1-Propanol
497,0.143,0.153,0.062,0.181,100ppm,1-Propanol
498,0.136,0.169,0.061,0.182,100ppm,1-Propanol
499,0.148,0.161,0.066,0.201,100ppm,1-Propanol
500,0.138,0.152,0.064,0.181,100ppm,1-Propanol
501,0.139,0.167,0.067,0.204,100ppm,1-Propanol
502,0.141,0.155,0.067,0.182,100ppm,1-Propanol
503,0.139,0.165,0.06,0.186,100ppm,1-Propanol
504,0.141,0.156,0.061,0.19,100ppm,1-Propanol
505,0.139,0.162,0.065,0.195,100ppm,1-Propanol
506,0.136,0.155,0.06,0.197,100ppm,1-Propanol
507,0.146,0.16,0.066,0.205,100ppm,1-Propanol
508,0.142,0.167,0.066,0.192,100ppm,1-Propanol
509,0.137,0.158,0.063,0.191,100ppm,1-Propanol
510,0.149,0.158,0.066,0.196,100ppm,1-Propanol
511,0.146,0.167,0.067,0.18,100ppm,1-Propanol
512,0.146,0.156,0.063,0.181,100ppm,1-Propanol
513,0.143,0.167,0.062,0.189,100ppm,1-Propanol
514,0.144,0.16,0.062,0.186,100ppm,1-Propanol
515,0.14,0.157,0.062,0.182,100ppm,1-Propanol
516,0.137,0.154,0.061,0.183,100ppm,1-Propanol
517,0.15,0.155,0.06,0.187,100ppm,1-Propanol
518,0.143,0.168,0.063,0.193,100ppm,1-Propanol
519,0.147,0.151,0.062,0.204,100ppm,1-Propanol
520,0.14,0.17,0.062,0.205,100ppm,1-Propanol
521,0.145,0.162,0.066,0.185,100ppm,1-Propanol
522,0.141,0.168,0.068,0.188,100ppm,1-Propanol
523,0.144,0.159,0.068,0.182,100ppm,1-Propanol
524,0.137,0.163,0.068,0.185,100ppm,1-Propanol
525,0.147,0.17,0.067,0.204,100ppm,1-Propanol
526,0.143,0.155,0.063,0.185,100ppm,1-Propanol
527,0.143,0.152,0.065,0.186,100ppm,1-Propanol
528,0.145,0.151,0.068,0.191,100ppm,1-Propanol
529,0.146,0.155,0.066,0.182,100ppm,1-Propanol
530,0.147,0.161,0.065,0.188,100ppm,1-Propanol
531,0.145,0.159,0.064,0.187,100ppm,1-Propanol
532,0.147,0.169,0.065,0.187,100ppm,1-Propanol
533,0.149,0.151,0.064,0.187,100ppm,1-Propanol
534,0.146,0.168,0.062,0.205,100ppm,1-Propanol
535,0.148,0.15,0.062,0.193,100ppm,1-Propanol
536,0.136,0.169,0.063,0.201,100ppm,1-Propanol
537,0.146,0.163,0.06,0.2,100ppm,1-Propanol
538,0.137,0.152,0.063,0.204,100ppm,1-Propanol
539,0.139,0.15,0.06,0.198,100ppm,1-Propanol
540,0.143,0.17,0.068,0.184,100ppm,1-Propanol
541,0.137,0.156,0.061,0.202,100ppm,1-Propanol
542,0.145,0.17,0.062,0.192,100ppm,1-Propanol
543,0.139,0.156,0.062,0.192,100ppm,1-Propanol
544,0.142,0.163,0.063,0.198,100ppm,1-Propanol
545,0.149,0.15,0.062,0.18,100ppm,1-Propanol
546,0.136,0.168,0.062,0.194,100ppm,1-Propanol
547,0.141,0.152,0.066,0.196,100ppm,1-Propanol
548,0.143,0.168,0.061,0.205,100ppm,1-Propanol
549,0.141,0.167,0.06,0.19,100ppm,1-Propanol
550,0.15,0.16,0.061,0.193,100ppm,1-Propanol
551,0.139,0.158,0.066,0.188,100ppm,1-Propanol
552,0.147,0.151,0.063,0.202,100ppm,1-Propanol
553,0.144,0.17,0.062,0.202,100ppm,1-Propanol
554,0.141,0.156,0.061,0.188,100ppm,1-Propanol
555,0.137,0.151,0.063,0.183,100ppm,1-Propanol
556,0.141,0.16,0.067,0.202,100ppm,1-Propanol
557,0.136,0.16,0.067,0.182,100ppm,1-Propanol
558,0.144,0.169,0.066,0.194,100ppm,1-Propanol
559,0.147,0.159,0.066,0.194,100ppm,1-Propanol
560,0.15,0.164,0.065,0.186,100ppm,1-Propanol
561,0.143,0.153,0.061,0.202,100ppm,1-Propanol
562,0.148,0.158,0.067,0.202,100ppm,1-Propanol
563,0.145,0.156,0.06,0.195,100ppm,1-Propanol
564,0.149,0.166,0.066,0.195,100ppm,1-Propanol
565,0.141,0.159,0.06,0.181,100ppm,1-Propanol
566,0.139,0.158,0.063,0.191,100ppm,1-Propanol
567,0.138,0.164,0.064,0.183,100ppm,1-Propanol
568,0.139,0.162,0.067,0.195,100ppm,1-Propanol
569,0.15,0.159,0.062,0.194,100ppm,1-Propanol
570,0.135,0.157,0.061,0.181,100ppm,1-Propanol
571,0.149,0.162,0.06,0.204,100ppm,1-Propanol
572,0.146,0.163,0.063,0.194,100ppm,1-Propanol
573,0.15,0.154,0.06,0.187,100ppm,1-Propanol
574,0.143,0.159,0.064,0.187,100ppm,1-Propanol
575,0.146,0.158,0.063,0.186,100ppm,1-Propanol
576,0.139,0.152,0.064,0.201,100ppm,1-Propanol
577,0.15,0.154,0.067,0.197,100ppm,1-Propanol
578,0.144,0.156,0.062,0.18,100ppm,1-Propanol
579,0.148,0.153,0.067,0.198,100ppm,1-Propanol
580,0.141,0.165,0.06,0.194,100ppm,1-Propanol
581,0.143,0.161,0.062,0.203,100ppm,1-Propanol
582,0.14,0.151,0.064,0.188,100ppm,1-Propanol
583,0.141,0.152,0.066,0.193,100ppm,1-Propanol
584,0.142,0.17,0.06,0.189,100ppm,1-Propanol
585,0.138,0.154,0.067,0.185,100ppm,1-Propanol
586,0.138,0.167,0.061,0.187,100ppm,1-Propanol
587,0.145,0.165,0.062,0.19,100ppm,1-Propanol
588,0.135,0.169,0.067,0.191,100ppm,1-Propanol
589,0.139,0.17,0.066,0.202,100ppm,1-Propanol
590,0.141,0.162,0.066,0.203,100ppm,1-Propanol
591,0.137,0.151,0.063,0.192,100ppm,1-Propanol
592,0.146,0.161,0.062,0.186,100ppm,1-Propanol
593,0.147,0.15,0.068,0.197,100ppm,1-Propanol
594,0.149,0.16,0.068,0.18,100ppm,1-Propanol
595,0.141,0.153,0.061,0.197,100ppm,1-Propanol
596,0.149,0.167,0.06,0.205,100ppm,1-Propanol
597,0.142,0.157,0.064,0.198,100ppm,1-Propanol
598,0.14,0.155,0.067,0.197,100ppm,1-Propanol
599,0.148,0.163,0.062,0.197,100ppm,1-Propanol
600,0.145,0.157,0.067,0.2,100ppm,1-Propanol
601,0.135,0.16,0.064,0.193,100ppm,1-Propanol
602,0.143,0.153,0.067,0.184,100ppm,1-Propanol
603,0.147,0.153,0.064,0.196,100ppm,1-Propanol
604,0.03,0.105,0.05,0.094,100ppm,1-Butanol
605,0.03,0.102,0.062,0.07,100ppm,Methanol
606,0.038,0.095,0.06,0.083,100ppm,Methanol
607,0.031,0.093,0.047,0.093,100ppm,Methanol
608,0.043,0.106,0.06,0.072,100ppm,Methanol
609,0.072,0.109,0.049,0.08,100ppm,Ethanol
610,0.049,0.094,0.042,0.09,100ppm,Ethanol
611,0.043,0.104,0.055,0.082,100ppm,Ethanol
612,0.034,0.107,0.046,0.095,100ppm,Ethanol
613,0.033,0.102,0.04,0.094,100ppm,Ethanol
614,0.039,0.099,0.051,0.071,100ppm,Ethanol
615,0.046,0.102,0.046,0.088,100ppm,1-Propanol
616,0.064,0.114,0.046,0.084,100ppm,1-Propanol
617,0.061,0.112,0.04,0.083,100ppm,1-Propanol
618,0.037,0.114,0.059,0.083,100ppm,1-Propanol
619,0.061,0.113,0.061,0.093,100ppm,1-Propanol
620,0.073,0.103,0.047,0.08,100ppm,1-Propanol
621,0.031,0.111,0.058,0.09,100ppm,1-Propanol
622,0.055,0.104,0.054,0.075,100ppm,1-Propanol
623,0.068,0.107,0.048,0.082,100ppm,1-Butanol
624,0.046,0.097,0.045,0.082,100ppm,1-Butanol
625,0.06,0.105,0.042,0.085,100ppm,1-Butanol
626,0.049,0.099,0.064,0.086,100ppm,1-Butanol
627,0.045,0.095,0.06,0.078,100ppm,1-Butanol
628,0.073,0.108,0.052,0.085,100ppm,1-Butanol
629,0.06,0.098,0.046,0.072,100ppm,1-Butanol
630,0.065,0.108,0.046,0.085,100ppm,1-Butanol
631,0.049,0.114,0.052,0.079,100ppm,1-Butanol
632,0.038,0.101,0.057,0.081,100ppm,1-Butanol
633,0.038,0.113,0.055,0.092,100ppm,1-Butanol
634,0.039,0.096,0.04,0.077,100ppm,1-Butanol
635,0.052,0.097,0.046,0.071,100ppm,1-Butanol
636,0.051,0.09,0.045,0.077,100ppm,1-Butanol
637,0.046,0.109,0.065,0.085,100ppm,1-Butanol
638,0.065,0.096,0.048,0.072,100ppm,1-Butanol
639,0.038,0.114,0.045,0.089,100ppm,1-Butanol
640,0.074,0.092,0.041,0.09,100ppm,1-Butanol
641,0.057,0.092,0.056,0.085,100ppm,1-Butanol
642,0.046,0.104,0.064,0.082,100ppm,1-Butanol
643,0.045,0.094,0.065,0.084,100ppm,1-Butanol
644,0.053,0.111,0.046,0.093,100ppm,1-Butanol
645,0.062,0.098,0.044,0.09,100ppm,1-Butanol
646,0.042,0.112,0.064,0.088,100ppm,1-Butanol
647,0.037,0.091,0.053,0.074,100ppm,1-Butanol
648,0.049,0.091,0.043,0.088,100ppm,1-Butanol
649,0.03,0.1,0.054,0.071,100ppm,1-Butanol
650,0.062,0.1,0.044,0.077,100ppm,1-Butanol
651,0.069,0.109,0.06,0.073,100ppm,1-Butanol
652,0.063,0.099,0.055,0.072,100ppm,1-Butanol
653,0.042,0.108,0.054,0.092,100ppm,1-Butanol
654,0.044,0.115,0.052,0.079,100ppm,1-Butanol
655,0.044,0.093,0.05,0.08,100ppm,1-Butanol
656,0.061,0.09,0.055,0.089,100ppm,1-Butanol
657,0.075,0.113,0.047,0.091,100ppm,1-Butanol
658,0.041,0.105,0.06,0.074,100ppm,1-Butanol
659,0.047,0.099,0.061,0.074,100ppm,1-Butanol
660,0.044,0.111,0.044,0.088,100ppm,1-Butanol
661,0.061,0.105,0.043,0.081,100ppm,1-Butanol
662,0.048,0.11,0.044,0.095,100ppm,1-Butanol
663,0.066,0.1,0.056,0.085,100ppm,1-Butanol
664,0.03,0.1,0.043,0.093,100ppm,1-Butanol
665,0.046,0.097,0.044,0.073,100ppm,1-Butanol
666,0.04,0.095,0.05,0.088,100ppm,1-Butanol
667,0.043,0.095,0.051,0.079,100ppm,1-Butanol
668,0.07,0.092,0.051,0.085,100ppm,1-Butanol
669,0.063,0.092,0.06,0.087,100ppm,1-Butanol
670,0.056,0.092,0.064,0.088,100ppm,1-Butanol
671,0.073,0.112,0.059,0.075,100ppm,1-Butanol
672,0.046,0.092,0.06,0.078,100ppm,1-Butanol
673,0.07,0.101,0.04,0.093,100ppm,1-Butanol
674,0.04,0.106,0.062,0.071,100ppm,1-Butanol
675,0.066,0.09,0.052,0.084,100ppm,1-Butanol
676,0.061,0.097,0.056,0.074,100ppm,1-Butanol
677,0.035,0.094,0.051,0.07,100ppm,1-Butanol
678,0.044,0.101,0.046,0.08,100ppm,1-Butanol
679,0.036,0.096,0.051,0.074,100ppm,1-Butanol
680,0.055,0.099,0.042,0.086,100ppm,1-Butanol
681,0.05,0.109,0.054,0.084,100ppm,1-Butanol
682,0.047,0.113,0.056,0.076,100ppm,1-Butanol
683,0.069,0.093,0.055,0.071,100ppm,1-Butanol
684,0.069,0.094,0.05,0.076,100ppm,1-Butanol
685,0.043,0.114,0.049,0.077,100ppm,1-Butanol
686,0.031,0.09,0.051,0.07,100ppm,1-Butanol
687,0.058,0.1,0.055,0.073,100ppm,1-Butanol
688,0.068,0.099,0.058,0.08,100ppm,1-Butanol
689,0.048,0.091,0.057,0.091,100ppm,1-Butanol
690,0.036,0.111,0.058,0.092,100ppm,1-Butanol
691,0.074,0.11,0.048,0.075,100ppm,1-Butanol
692,0.051,0.112,0.051,0.079,100ppm,1-Butanol
693,0.066,0.099,0.056,0.082,100ppm,1-Butanol
694,0.049,0.099,0.054,0.076,100ppm,1-Butanol
695,0.06,0.095,0.041,0.088,100ppm,1-Butanol
696,0.035,0.11,0.05,0.093,100ppm,1-Butanol
697,0.046,0.09,0.043,0.092,100ppm,1-Butanol
698,0.069,0.111,0.054,0.084,100ppm,1-Butanol
699,0.05,0.095,0.041,0.09,100ppm,1-Butanol
700,0.064,0.098,0.058,0.092,100ppm,1-Butanol
701,0.061,0.105,0.063,0.084,100ppm,1-Butanol
702,0.044,0.093,0.049,0.077,100ppm,1-Butanol
703,0.052,0.103,0.065,0.08,100ppm,1-Butanol
704,0.031,0.102,0.041,0.075,100ppm,1-Butanol
705,0.059,0.11,0.063,0.071,100ppm,1-Butanol
706,0.055,0.115,0.044,0.07,100ppm,1-Butanol
707,0.056,0.091,0.052,0.094,100ppm,1-Butanol
708,0.053,0.106,0.046,0.087,100ppm,1-Butanol
709,0.056,0.101,0.061,0.075,100ppm,1-Butanol
710,0.04,0.109,0.063,0.074,100ppm,1-Butanol
711,0.044,0.102,0.058,0.074,100ppm,1-Butanol
712,0.033,0.103,0.055,0.085,100ppm,1-Butanol
713,0.068,0.094,0.05,0.079,100ppm,1-Butanol
714,0.043,0.09,0.043,0.081,100ppm,1-Butanol
715,0.073,0.112,0.064,0.08,100ppm,1-Butanol
716,0.047,0.108,0.051,0.095,100ppm,1-Butanol
717,0.074,0.11,0.06,0.073,100ppm,1-Butanol
718,0.065,0.099,0.043,0.075,100ppm,1-Butanol
719,0.071,0.113,0.062,0.072,100ppm,1-Butanol
720,0.038,0.097,0.057,0.091,100ppm,1-Butanol
721,0.071,0.099,0.046,0.089,100ppm,1-Butanol
722,0.064,0.096,0.045,0.091,100ppm,1-Butanol
723,0.05,0.1,0.046,0.082,100ppm,1-Butanol
724,0.046,0.101,0.058,0.094,100ppm,1-Butanol
725,0.064,0.103,0.058,0.074,100ppm,1-Butanol
726,0.037,0.103,0.06,0.092,100ppm,1-Butanol
727,0.033,0.091,0.048,0.074,100ppm,1-Butanol
728,0.034,0.103,0.063,0.086,100ppm,1-Butanol
729,0.071,0.096,0.06,0.075,100ppm,1-Butanol
730,0.062,0.111,0.051,0.078,100ppm,1-Butanol
731,0.045,0.115,0.062,0.082,100ppm,1-Butanol
732,0.073,0.115,0.064,0.071,100ppm,1-Butanol
733,0.041,0.091,0.058,0.08,100ppm,1-Butanol
734,0.052,0.093,0.062,0.07,100ppm,1-Butanol
735,0.072,0.105,0.064,0.081,100ppm,1-Butanol
736,0.031,0.101,0.045,0.075,100ppm,1-Butanol
737,0.071,0.1,0.04,0.085,100ppm,1-Butanol
738,0.03,0.114,0.065,0.095,100ppm,1-Butanol
739,0.063,0.107,0.061,0.085,100ppm,1-Butanol
740,0.032,0.095,0.051,0.09,100ppm,1-Butanol
741,0.045,0.114,0.065,0.075,100ppm,1-Butanol
742,0.069,0.112,0.051,0.074,100ppm,1-Butanol
743,0.061,0.112,0.045,0.08,100ppm,1-Butanol
744,0.072,0.111,0.057,0.09,100ppm,1-Butanol
745,0.05,0.093,0.051,0.074,100ppm,1-Butanol
746,0.056,0.091,0.059,0.085,100ppm,1-Butanol
747,0.039,0.1,0.064,0.09,100ppm,1-Butanol
748,0.035,0.109,0.054,0.073,100ppm,1-Butanol
749,0.047,0.098,0.063,0.074,100ppm,1-Butanol
750,0.063,0.096,0.052,0.078,100ppm,1-Butanol
751,0.058,0.099,0.04,0.091,100ppm,1-Butanol
752,0.045,0.106,0.04,0.081,100ppm,1-Butanol
753,0.051,0.101,0.061,0.081,100ppm,1-Butanol
754,0.037,0.091,0.048,0.091,100ppm,1-Butanol
755,0.057,0.106,0.065,0.08,100ppm,1-Butanol
756,0.071,0.098,0.055,0.092,100ppm,1-Butanol
757,0.035,0.112,0.059,0.087,100ppm,1-Butanol
758,0.032,0.097,0.062,0.09,100ppm,1-Butanol
759,0.05,0.097,0.058,0.077,100ppm,1-Butanol
760,0.061,0.101,0.04,0.085,100ppm,1-Butanol
761,0.039,0.097,0.059,0.076,100ppm,1-Butanol
762,0.063,0.111,0.047,0.08,100ppm,1-Butanol
763,0.07,0.109,0.041,0.093,100ppm,1-Butanol
764,0.041,0.103,0.046,0.087,100ppm,1-Butanol
765,0.072,0.115,0.045,0.083,100ppm,1-Butanol
766,0.065,0.113,0.045,0.078,100ppm,1-Butanol
767,0.041,0.105,0.06,0.073,100ppm,1-Butanol
768,0.043,0.115,0.054,0.08,100ppm,1-Butanol
769,0.074,0.108,0.055,0.082,100ppm,1-Butanol
770,0.065,0.106,0.045,0.076,100ppm,1-Butanol
771,0.033,0.104,0.043,0.094,100ppm,1-Butanol
772,0.042,0.101,0.049,0.084,100ppm,1-Butanol
773,0.046,0.105,0.051,0.082,100ppm,1-Butanol
774,0.056,0.109,0.048,0.078,100ppm,1-Butanol
775,0.063,0.101,0.044,0.095,100ppm,1-Butanol
776,0.036,0.093,0.044,0.082,100ppm,1-Butanol
777,0.037,0.11,0.044,0.076,100ppm,1-Butanol
778,0.032,0.105,0.061,0.089,100ppm,1-Butanol
779,0.039,0.101,0.062,0.075,100ppm,1-Butanol
780,0.047,0.112,0.052,0.082,100ppm,1-Butanol
781,0.072,0.1,0.055,0.072,100ppm,1-Butanol
782,0.067,0.091,0.065,0.095,100ppm,1-Butanol
783,0.041,0.095,0.061,0.078,100ppm,1-Butanol
784,0.057,0.106,0.063,0.082,100ppm,1-Butanol
785,0.051,0.093,0.059,0.082,100ppm,1-Butanol
786,0.053,0.095,0.051,0.091,100ppm,1-Butanol
787,0.052,0.103,0.047,0.077,100ppm,1-Butanol
788,0.061,0.099,0.055,0.076,100ppm,1-Butanol
789,0.07,0.096,0.049,0.079,100ppm,1-Butanol
790,0.062,0.111,0.054,0.083,100ppm,1-Butanol
791,0.041,0.094,0.046,0.07,100ppm,1-Butanol
792,0.05,0.097,0.063,0.087,100ppm,1-Butanol
793,0.035,0.105,0.065,0.078,100ppm,1-Butanol
794,0.067,0.099,0.045,0.072,100ppm,1-Butanol
795,0.051,0.106,0.046,0.073,100ppm,1-Butanol
796,0.043,0.095,0.065,0.076,100ppm,1-Butanol
797,0.033,0.104,0.048,0.07,100ppm,1-Butanol
798,0.071,0.108,0.063,0.084,100ppm,1-Butanol
799,0.06,0.097,0.048,0.083,100ppm,1-Butanol
800,0.046,0.098,0.057,0.095,100ppm,1-Butanol
801,0.072,0.11,0.045,0.081,100ppm,1-Butanol
802,0.074,0.09,0.063,0.076,100ppm,1-Butanol
803,0.065,0.094,0.062,0.08,100ppm,1-Butanol
804,0.066,0.09,0.043,0.073,100ppm,1-Butanol
